Organisation Name,Town/City,County,Type & Rating,Route
FD Law Limited t/a Hayes Connor Solicitors,London,London,Worker (A rating),Skilled Worker
Federated Financial Technology Limited,London,England,Worker (A rating),Skilled Worker
FENIXSAN LIMITED,Warwickshire,,Worker (A rating),Skilled Worker
FOOTSTEPS CARE LIMITED,Uxbridge,,Worker (A rating),Skilled Worker
FRONTIVE HOLDING LTD,LONDON,,Worker (A rating),Skilled Worker
Gloucestershire Care Services Ltd,Gloucester,Gloucestershire,Worker (A rating),Skilled Worker
Glynn and Co Accountants,LONDON,,Worker (A rating),Skilled Worker
Goldenfire DA6 Ltd T/A Daiu Bexleyheath,Bexleyheath,,Worker (A rating),Skilled Worker
Goodbody Wellness Limited,Frome,Somerset,Worker (A rating),Skilled Worker
GREENWICHGADGETS LTD,London,,Worker (A rating),Skilled Worker
GREINER BIO-ONE LIMITED,Stonehouse,Gloucestershire,Worker (A rating),Skilled Worker
Hard Landscaping Supplies Limited,NORTHAMPTON,,Worker (A rating),Skilled Worker
Hayer Group Ltd,Leicester,,Worker (A rating),Skilled Worker
Hotel Co 51 UK LONOF Limited,London,,Worker (A rating),Skilled Worker
I-DEEP LIMITED,London,,Worker (A rating),Skilled Worker
IDS TECHNOLOGY LIMITED,London,,Worker (A rating),Skilled Worker
IN Showjumpers Limited,Warren Row,Berkshire,Worker (A rating),Skilled Worker
Indinite Limited,Uxbridge,,Worker (A rating),Skilled Worker
INFOSEC K2K LTD,London,,Worker (A rating),Skilled Worker
Innuendo (Bat and Ball) Limited,Fordingbridge,Hampshire,Worker (A rating),Skilled Worker
International Corporate Governance Network,London,,Worker (A rating),Skilled Worker
IQA OPERATIONS GROUP LIMITED,Edinburgh,Scotland,Worker (A rating),Skilled Worker
IRIE! dance theatre,London,- select -,Worker (A rating),Skilled Worker
Ivy Legal Limited,London,,Worker (A rating),Skilled Worker
Jai Avad Group Ltd,Leicester,,Worker (A rating),Skilled Worker
JAK Prestige Ltd,Huddersfield,,Worker (A rating),Skilled Worker
Jarrow Insights Ltd,London,,Worker (A rating),Skilled Worker
JMG GROUP INVESTMENTS LIMITED,Leeds,,Worker (A rating),Skilled Worker
Joymo UK Ltd,Warwick,,Worker (A rating),Skilled Worker
Kaplan Care Limited,Carnforth,,Worker (A rating),Skilled Worker
KIRAN MOTORS (LEICESTER) LIMITED,Leicester,,Worker (A rating),Skilled Worker
KKB SMILES LTD T/A ELM HOUSE DENTAL PRACTICE,Crawley Down,,Worker (A rating),Skilled Worker
Kokoro Alliance Ltd( T/A Kokoro Eastbourne),Raynes Park,,Worker (A rating),Skilled Worker
KONE Plc,Woking,Surrey,Worker (A rating),Skilled Worker
KUDU 7 (MARYLEBONE) LIMITED,London,,Worker (A rating),Skilled Worker
Kuehne + Nagel Ltd,Uxbridge,Middlesex,Worker (A rating),Skilled Worker
Landry & Kling UK Limited,Southampton,,Worker (A rating),Skilled Worker
Little Bao Boy,London,,Worker (A rating),Skilled Worker
London Lightworks Ltd,Watford,Hertfordshire,Worker (A rating),Skilled Worker
Lords of the Manor Hotel Limited,Cheltenham,,Worker (A rating),Skilled Worker
LP Physiotherapy Ltd,Sheffield,,Worker (A rating),Skilled Worker
Luminarytech Limited,London,,Worker (A rating),Skilled Worker
Magnum Trading M1 ltdT/A Papajohns,Castleford,,Worker (A rating),Skilled Worker
MARINE DENTAL PRACTICE LIMITED,Worthing,,Worker (A rating),Skilled Worker
MASTRICK SMILE CARE,ABERDEEN,,Worker (A rating),Skilled Worker
MILLERS WELL LTD,London,,Worker (A rating),Skilled Worker
MINORISE RESTAURANT LTD,London,,Worker (A rating),Skilled Worker
Monumo Limited,Great Chesterford,,Worker (A rating),Skilled Worker
Mr Gurjeet Singh & Mrs Prabhjot Kaur T/A Winlaton Food & Wine,Winlaton,Blaydon On Tyne,Worker (A rating),Skilled Worker
Nolana Limited,London,,Worker (A rating),Skilled Worker
NXTGEN SNS LIMITED,Ipswich,Suffolk,Worker (A rating),Skilled Worker
Oxford Diocesan Bucks Schools Trust,Stoke Mandeville,Buckinghamshire,Worker (A rating),Skilled Worker
Peachies Ltd,London,,Worker (A rating),Skilled Worker
Peak Vega Capital Limited,London,England,Worker (A rating),Skilled Worker
Pegasus Equine Veterinary Services Limited,Washingborough,Lincolnshire,Worker (A rating),Skilled Worker
Pocha Bristol,Bristol,Bristol,Worker (A rating),Skilled Worker
PREZIEN SOLUTIONS LTD,Reading,,Worker (A rating),Skilled Worker
Punjabi Thali & Sweets,Smethwick,,Worker (A rating),Skilled Worker
Rambus UK Ltd,Swanley,Kent,Worker (A rating),Skilled Worker
re-form landscape architecture (2023) limited,Manchester,,Worker (A rating),Skilled Worker
Reve Property (Letting & Management) Limited,London,,Worker (A rating),Skilled Worker
RIV Worldwide Ltd,Feltham,London,Worker (A rating),Skilled Worker
RNS EDUCATION LIMITED,London,,Worker (A rating),Skilled Worker
RODEW LTD,Edinburgh,,Worker (A rating),Skilled Worker
SDC HEALTHCARE LTD,WATFORD,,Worker (A rating),Skilled Worker
Seacliff Douglas Ltd T/As The Jamaica Inn;,Bangor,Northern Ireland,Worker (A rating),Skilled Worker
SECCTA Limited,"Horseshoe Hill, Upshire",Essex,Worker (A rating),Skilled Worker
SNP PVT LTD,Matlock,Derbyshire,Worker (A rating),Skilled Worker
Somerbond Limited,Hertfordshire,,Worker (A rating),Skilled Worker
SONET TECH LIMITED,Coatbridge,,Worker (A rating),Skilled Worker
SS Global Merchants Limited,London,,Worker (A rating),Skilled Worker
STANMORE KITCHENS LTD,London,,Worker (A rating),Skilled Worker
"Strachan, Tyson and Hamilton Ltd",Newcastle Upon Tyne,,Worker (A rating),Skilled Worker
Structura UK Ltd,Chessington,Surrey,Worker (A rating),Skilled Worker
Subway ltd/AHS FOOD TRADING LTD,Gloucestershire Gloucester,,Worker (A rating),Skilled Worker
SV Premier Healthcare Pvt Ltd,Newtownards,,Worker (A rating),Skilled Worker
Systems Planning and Analysis UK Limited,Bristol,,Worker (A rating),Skilled Worker
Talent Innovations Ltd,Milton Keynes,Bucks,Worker (A rating),Skilled Worker
The AVOCADO Foundation,"Mill Hill, London",London,Worker (A rating),Skilled Worker
The Crescent Surgery,Thornton-Cleveleys,Lancashire,Worker (A rating),Skilled Worker
The QT Company (UK) Ltd,London,,Worker (A rating),Skilled Worker
The Woodspeen Restaurant Limited,Reading,,Worker (A rating),Skilled Worker
Tigerbite Franchising Limited,Stoke-on-Trent,,Worker (A rating),Skilled Worker
TONGDA DISTRIBUTION LTD,Wellingborough,Northamptonshire,Worker (A rating),Skilled Worker
UK Care Team Ltd,Whetstone,,Worker (A rating),Skilled Worker
UK MANAGEMENT COLLEGE LTD,Manchester,,Worker (A rating),Skilled Worker
Vama Brows Limited,CHRISTCHURCH,,Worker (A rating),Skilled Worker
Vapours Limited,Edinburgh,,Worker (A rating),Skilled Worker
Veiksme Tech Limited,Ashford,,Worker (A rating),Skilled Worker
VELANOVA LIMITED,London,,Worker (A rating),Skilled Worker
VISION HOMES ASSOCIATION,OLDBURY,West Midlands,Worker (A rating),Skilled Worker
VKF Renzel (UK) Limited,Bromsgrove,Worcestershire,Worker (A rating),Skilled Worker
WBD Group Limited,London,,Worker (A rating),Skilled Worker
Window to the Womb Cambridge,Newmarket,Cambridgeshire,Worker (A rating),Skilled Worker
Woodline Partners Europe LLP,London,,Worker (A rating),Skilled Worker
Woods River Cruises,London,,Worker (A rating),Skilled Worker
Zebra EM,Taunton,Somerset,Worker (A rating),Skilled Worker
