Organisation Name,Town/City,County,Type & Rating,Route
McBrides,Newtownards,,Worker (A rating),Skilled Worker
MediPaCe Ltd,London,,Worker (A rating),Skilled Worker
MES Financial Services Limited,Bristol,,Worker (A rating),Skilled Worker
Michael Bailey Estate Agent,Preston,,Worker (A rating),Skilled Worker
MKM13 Sewa Limited t/a Wincare Homecare,Burnham,Buckinghamshire,Worker (A rating),Skilled Worker
MOX LONDON LIMITED,London,London,Worker (A rating),Skilled Worker
"MP Solicitors LLP,",LEICESTER,,Worker (A rating),Skilled Worker
MPN 2024 UK LTD,London,,Worker (A rating),Skilled Worker
MRHH Limited,Andover,,Worker (A rating),Skilled Worker
National Counties Building Society,Epsom,Surrey,Worker (A rating),Skilled Worker
Next Step Fusion Ltd,Abingdon,,Worker (A rating),Skilled Worker
OMG CONSULTING LTD,LONDON,,Worker (A rating),Skilled Worker
Opus Safety Ltd,Solihull,West Midlands,Worker (A rating),Skilled Worker
OriBiotech Ltd,London,London,Worker (A rating),Skilled Worker
Proactive Accounting Services Ltd,Belfast,Antrim,Worker (A rating),Skilled Worker
Pub World Ltd T/A Ye Shakespeare,Bristol,,Worker (A rating),Skilled Worker
Quarry Mount Care Ltd,Swindon,Wiltshire,Worker (A rating),Skilled Worker
REA ADVISORY LTD,London,,Worker (A rating),Skilled Worker
RECYCLING TRADE (UK) LTD,Birmingham,County,Worker (A rating),Skilled Worker
Remote Diagnostic Technologies Limited,Farnborough,,Worker (A rating),Skilled Worker
Rostro Management Limited,London,,Worker (A rating),Skilled Worker
ROTIEXPRESS LTD t/a BIRYANI WORLD,Harrow,,Worker (A rating),Skilled Worker
Royal Aeronautical Society,London,,Worker (A rating),Skilled Worker
RSV Solutions Ltd,Guildford,Surrey,Worker (A rating),Skilled Worker
Safsons Ltd,Portsmouth,,Worker (A rating),Skilled Worker
SEBASTIAN AND DAUGHTERS LTD,Hownslow,,Worker (A rating),Skilled Worker
Semarion Ltd,Cambridge,,Worker (A rating),Skilled Worker
SFASHION LTD,London,,Worker (A rating),Skilled Worker
Sonita Grocers Private Limited T/A Phil's Premier,Glasgow,,Worker (A rating),Skilled Worker
SPAICE TECHNOLOGY LTD,London,,Worker (A rating),Skilled Worker
SpeakUnique LTD,Glasgow,United Kingdom,Worker (A rating),Skilled Worker
Sri Saradhi IT Solutions Ltd,Slough,,Worker (A rating),Skilled Worker
Suzerain Limited,London,,Worker (A rating),Skilled Worker
Tanjeema Childcare Ltd,London,,Worker (A rating),Skilled Worker
TECHBY7 LTD,London,,Worker (A rating),Skilled Worker
TECHRIPPER LTD,London,,Worker (A rating),Skilled Worker
The Font Climbing Ltd,Cheadle,,Worker (A rating),Skilled Worker
The Hickson Design Partnership Limited,London,,Worker (A rating),Skilled Worker
The Motor Deals Ltd,Stoke on Trent,,Worker (A rating),Skilled Worker
The Pour House Group Ltd,Whitehaven,Cumbria,Worker (A rating),Skilled Worker
THE REDEEMED CHRISTIAN CHURCH OF GOD SCOTLAND (RCCG SCOTLAND),Livingston,West Lothian,Worker (A rating),Skilled Worker
The Trade Tribe Investments Ltd,Hitchin,Hertfordshire,Worker (A rating),Skilled Worker
The Varkey Foundation,London,London,Worker (A rating),Skilled Worker
TORANDCO LIMITED,Bournemouth,Dorset,Worker (A rating),Skilled Worker
UK Offer International Education Limited,Coventry,,Worker (A rating),Skilled Worker
UK Truckcentre Ltd,Waltham Cross,Hertfordshire,Worker (A rating),Skilled Worker
Umrah Express Northampton Ltd,Northampton,,Worker (A rating),Skilled Worker
VELOREMIT LIMITED,Kent,,Worker (A rating),Skilled Worker
VIMEI LTD,Brighton,,Worker (A rating),Skilled Worker
Visor Commerce Ltd,London,,Worker (A rating),Skilled Worker
Volt Signs Global Limited,Bury,Greater Manchester,Worker (A rating),Skilled Worker
WCM Europe Ltd,Basildon,Essex,Worker (A rating),Skilled Worker
Y77 LIMITED,London,,Worker (A rating),Skilled Worker
Yakult UK Limited,Chiswick,,Worker (A rating),Skilled Worker
